aptamer,new_id,fluorescence,fluorescence_rep1,fluorescence_rep2,fluorescence_rep3,affinity_kd_nM,affinity_kd_nM_rep1,affinity_kd_nM_rep2,affinity_kd_nM_rep3
Pepper,WT,1,0.972894,1.006009,1.021097,5.066667,4.186,5.327,5.687
Pepper,P1,0.845348,0.859508,0.84679,0.829746,120.266667,122.6,106.4,131.8
Pepper,P2,1.004741,0.977237,1.043034,0.993951,105.726667,119.7,95.58,101.9
Pepper,P3,0.261092,0.252286,0.274807,0.256184,,,,
Pepper,P4,0.611552,0.62448,0.632586,0.577589,,,,
Pepper,P5,0.868102,0.88589,0.87585,0.842565,,,,
Pepper,P6,0.961922,0.959821,0.958346,0.967598,,,,
Pepper,P7,0.998854,1.00508,0.996386,0.995097,368.066667,374.3,373.5,356.4
Pepper,P8,1.025871,1.034268,1.050796,0.992548,54.096667,64.4,41.15,56.74
Pepper,P9,0.085176,0.083919,0.091046,0.080563,,,,
Pepper,P10,0.100142,0.103637,0.104183,0.092607,,,,
Pepper,P11,0.050691,0.049919,0.05174,0.050414,,,,
Pepper,P12,0.160814,0.149238,0.17369,0.159513,,,,
Pepper,P13,0.232176,0.220878,0.240726,0.234925,,,,
Pepper,P14,0.054897,0.058972,0.052313,0.053405,,,,
Pepper,P15,1.103407,1.121921,1.075517,1.112783,64.836667,93.01,41.35,60.15
Pepper,P16,0.32435,0.30654,0.352947,0.313563,,,,
Pepper,P17,0.015478,0.01272,0.019536,0.014177,,,,
Pepper,P18,0.614955,0.610788,0.639203,0.594875,,,,
Pepper,P19,0.075282,0.078092,0.075672,0.072083,,,,
Pepper,P20,1.110601,1.141814,1.11221,1.077779,51.02,63.93,41.36,47.77
Pepper,P21,0.015686,0.017663,0.014177,0.015218,,,,
Pepper,P22,0.306783,0.388976,0.246657,0.284715,,,,
Pepper,P23,0.034589,0.034311,0.039592,0.029863,,,,
Pepper,P24,0.029881,0.028953,0.031086,0.029603,,,,
Pepper,P25,0.166649,0.17715,0.162192,0.160606,,,,
Pepper,P26,0.08052,0.074086,0.089485,0.077988,,,,
Pepper,P27,0.242487,0.239686,0.237891,0.249883,,,,
Pepper,P28,0.025155,0.015374,0.041361,0.01873,,,,
Pepper,P29,0.02127,0.019172,0.020472,0.024166,,,,
Pepper,P30,0.142172,0.138766,0.145314,0.142435,,,,
Pepper,P31,0.098339,0.092269,0.102804,0.099943,,,,
Pepper,P32,0.046986,0.050238,0.050034,0.040685,,,,
Pepper,P33,0.108467,0.113366,0.092009,0.120025,,,,
Broccoli,WT,1,0.978722,0.995186,1.026092,108.803333,120,90.91,115.5
Broccoli,B1,1.975537,2.042445,1.932758,1.951407,60.866667,46.7,65.88,70.02
Broccoli,B2,1.108747,1.1127,1.104439,1.109101,61.133333,61.44,51.23,70.73
Broccoli,B3,1.806185,1.854919,1.752609,1.811026,87.783333,86.69,85.21,91.45
Broccoli,B4,1.99895,1.980505,2.001036,2.015309,105.063333,109.1,107.6,98.49
Broccoli,B5,1.687488,1.682342,1.716716,1.663406,51.183333,50.94,51.88,50.73
Broccoli,B6,0.339749,0.33498,0.332986,0.351282,,,,
Broccoli,B7,0.601547,0.597209,0.590122,0.617309,,,,
Broccoli,B8,1.043726,1.034279,1.056036,1.040863,757.633333,775.8,732,765.1
Broccoli,B9,0.118459,0.113735,0.127288,0.114354,,,,
Broccoli,B10,0.112432,0.109531,0.115028,0.112738,,,,
Broccoli,B11,0.063518,0.06421,0.062378,0.063967,,,,
Broccoli,B12,0.025014,0.021287,0.023631,0.030124,,,,
Broccoli,B13,0.166035,0.176032,0.16978,0.152293,,,,
Broccoli,B14,0.161966,0.166089,0.163852,0.155958,,,,
Broccoli,B15,0.09684,0.091155,0.101636,0.097729,,,,
Broccoli,B16,2.016481,1.911234,2.007347,2.130863,286.366667,385.8,226,247.3
Broccoli,B17,0.017523,0.017218,0.015978,0.019373,,,,
Broccoli,B18,0.428982,0.440739,0.429826,0.416381,,,,
Broccoli,B19,1.430147,1.476484,1.372788,1.441169,353.766667,302.4,332.5,426.4
Broccoli,B20,0.024376,0.020667,0.02584,0.026622,,,,
Broccoli,B21,0.121243,0.127099,0.122707,0.113923,,,,
Broccoli,B22,0.019751,0.021556,0.019858,0.017838,,,,
Broccoli,B23,0.020828,0.022795,0.020855,0.018835,,,,
Broccoli,B24,1.06457,1.045873,1.080043,1.067795,85.526667,72.98,93.55,90.05
Broccoli,B25,0.771873,0.786358,0.745297,0.783965,676.066667,656.1,670.6,701.5
Broccoli,B26,0.120848,0.13001,0.119797,0.112738,,,,
Broccoli,B27,0.928763,0.915512,0.920257,0.950521,571.5,593.5,585.6,535.4
Broccoli,B28,1.401069,1.411089,1.382419,1.409698,318.133333,363.3,325.4,265.7
Broccoli,B29,0.86041,0.857458,0.851221,0.87255,807,804,801.4,815.6
Broccoli,B30,0.328351,0.334333,0.327893,0.322828,,,,
Broccoli,B31,0.030547,0.030906,0.032576,0.028158,,,,
Broccoli,B32,0.085946,0.085362,0.081347,0.091128,,,,
Broccoli,B33,0.021862,0.018835,0.021637,0.025113,,,,
Broccoli,B34,0.084823,0.085577,0.082263,0.086628,,,,
Broccoli,B35,0.155894,0.153074,0.154044,0.160565,,,,
Broccoli,B36,0.03625,0.040283,0.035783,0.032684,,,,
Broccoli,B37,0.015233,0.015493,0.016167,0.014038,,,,
Broccoli,B38,0.027556,0.029909,0.028669,0.024089,,,,
Broccoli,B39,0.104771,0.11166,0.100666,0.101987,,,,
Broccoli,B40,0.076524,0.077359,0.074961,0.077251,,,,
Broccoli,B41,0.09693,0.103873,0.090751,0.096167,,,,
Broccoli,B42,0.018628,0.021879,0.019885,0.014119,,,,
Broccoli,B43,0.109972,0.111876,0.114759,0.10328,,,,
Broccoli,B44,0.060141,0.057554,0.065988,0.056881,,,,
Broccoli,B45,0.160044,0.15946,0.170131,0.150542,,,,
Broccoli,B46,0.017505,0.016625,0.016975,0.018915,,,,
Broccoli,B47,0.094128,0.095277,0.092637,0.094469,,,,
Broccoli,B48,0.109756,0.110986,0.108561,0.10972,,,,
