name	sequence_length	reference_length	mutations	mutation_rate
Pepper_aptamer_gpu1_seq0_len49	49	49	5	0.1020
Pepper_aptamer_gpu1_seq1_len49	49	49	6	0.1224
Pepper_aptamer_gpu1_seq2_len50	50	49	8	0.1600
Pepper_aptamer_gpu1_seq3_len49	49	49	6	0.1224
Pepper_aptamer_gpu1_seq4_len49	49	49	4	0.0816
Pepper_aptamer_gpu1_seq5_len49	49	49	4	0.0816
Pepper_aptamer_gpu1_seq6_len48	48	49	6	0.1224
Pepper_aptamer_gpu1_seq7_len49	49	49	5	0.1020
Pepper_aptamer_gpu1_seq8_len49	49	49	3	0.0612
Pepper_aptamer_gpu1_seq9_len49	49	49	6	0.1224
Pepper_aptamer_gpu1_seq10_len49	49	49	7	0.1429
Pepper_aptamer_gpu1_seq15_len50	50	49	4	0.0800
Pepper_aptamer_gpu1_seq17_len49	49	49	7	0.1429
Pepper_aptamer_gpu1_seq20_len49	49	49	5	0.1020
Pepper_aptamer_gpu1_seq21_len49	49	49	5	0.1020
Pepper_aptamer_gpu1_seq24_len49	49	49	4	0.0816
Pepper_aptamer_gpu1_seq25_len49	49	49	4	0.0816
Pepper_aptamer_gpu1_seq27_len49	49	49	5	0.1020
Pepper_aptamer_gpu1_seq29_len49	49	49	6	0.1224
Pepper_aptamer_gpu1_seq32_len49	49	49	8	0.1633
Pepper_aptamer_gpu1_seq38_len50	50	49	6	0.1200
Pepper_aptamer_gpu2_seq0_len48	48	49	7	0.1429
Pepper_aptamer_gpu2_seq1_len49	49	49	6	0.1224
Pepper_aptamer_gpu2_seq5_len49	49	49	4	0.0816
Pepper_aptamer_gpu2_seq7_len49	49	49	9	0.1837
Pepper_aptamer_gpu2_seq10_len49	49	49	4	0.0816
Pepper_aptamer_gpu2_seq14_len49	49	49	5	0.1020
Pepper_aptamer_gpu2_seq15_len49	49	49	3	0.0612
Pepper_aptamer_gpu2_seq16_len49	49	49	11	0.2245
Pepper_aptamer_gpu2_seq17_len49	49	49	8	0.1633
Pepper_aptamer_gpu2_seq18_len49	49	49	5	0.1020
Pepper_aptamer_gpu2_seq21_len49	49	49	8	0.1633
Pepper_aptamer_gpu2_seq29_len44	44	49	19	0.3878
Pepper_aptamer_gpu2_seq30_len54	54	49	9	0.1667
Pepper_aptamer_gpu2_seq32_len49	49	49	6	0.1224
Pepper_aptamer_gpu2_seq38_len49	49	49	8	0.1633
Pepper_aptamer_gpu3_seq2_len49	49	49	5	0.1020
Pepper_aptamer_gpu3_seq3_len49	49	49	2	0.0408
Pepper_aptamer_gpu3_seq5_len49	49	49	6	0.1224
Pepper_aptamer_gpu3_seq10_len53	53	49	10	0.1887
Pepper_aptamer_gpu3_seq12_len49	49	49	4	0.0816
Pepper_aptamer_gpu3_seq15_len49	49	49	10	0.2041
Pepper_aptamer_gpu3_seq18_len49	49	49	8	0.1633
Pepper_aptamer_gpu3_seq20_len49	49	49	4	0.0816
Pepper_aptamer_gpu3_seq21_len49	49	49	5	0.1020
Pepper_aptamer_gpu4_seq4_len50	50	49	6	0.1200
Pepper_aptamer_gpu4_seq7_len49	49	49	6	0.1224
Pepper_aptamer_gpu4_seq9_len49	49	49	6	0.1224
Pepper_aptamer_gpu4_seq14_len49	49	49	7	0.1429
Pepper_aptamer_gpu4_seq15_len49	49	49	6	0.1224
Pepper_aptamer_gpu4_seq22_len48	48	49	4	0.0816
Pepper_aptamer_gpu4_seq25_len49	49	49	4	0.0816
Pepper_aptamer_gpu4_seq36_len49	49	49	3	0.0612
Pepper_aptamer_gpu4_seq38_len54	54	49	13	0.2407
Pepper_aptamer_gpu4_seq39_len50	50	49	6	0.1200
Pepper_aptamer_gpu5_seq3_len49	49	49	6	0.1224
Pepper_aptamer_gpu5_seq11_len49	49	49	5	0.1020
Pepper_aptamer_gpu5_seq12_len49	49	49	7	0.1429
Pepper_aptamer_gpu5_seq13_len49	49	49	4	0.0816
Pepper_aptamer_gpu5_seq15_len49	49	49	7	0.1429
Pepper_aptamer_gpu5_seq18_len49	49	49	20	0.4082
Pepper_aptamer_gpu5_seq23_len49	49	49	8	0.1633
Pepper_aptamer_gpu5_seq24_len49	49	49	6	0.1224
Pepper_aptamer_gpu5_seq26_len49	49	49	7	0.1429
Pepper_aptamer_gpu5_seq31_len49	49	49	5	0.1020
Pepper_aptamer_gpu5_seq32_len50	50	49	7	0.1400
Pepper_aptamer_gpu5_seq37_len49	49	49	7	0.1429
Pepper_aptamer_gpu5_seq38_len52	52	49	7	0.1346
Pepper_aptamer_gpu5_seq39_len49	49	49	5	0.1020
Pepper_aptamer_gpu6_seq1_len49	49	49	5	0.1020
Pepper_aptamer_gpu6_seq2_len49	49	49	4	0.0816
Pepper_aptamer_gpu6_seq4_len49	49	49	6	0.1224
Pepper_aptamer_gpu6_seq5_len49	49	49	5	0.1020
Pepper_aptamer_gpu6_seq7_len49	49	49	5	0.1020
Pepper_aptamer_gpu6_seq15_len49	49	49	5	0.1020
Pepper_aptamer_gpu6_seq18_len49	49	49	5	0.1020
Pepper_aptamer_gpu6_seq22_len49	49	49	4	0.0816
Pepper_aptamer_gpu6_seq24_len49	49	49	6	0.1224
Pepper_aptamer_gpu6_seq30_len49	49	49	5	0.1020
Pepper_aptamer_gpu6_seq36_len49	49	49	5	0.1020
Pepper_aptamer_gpu6_seq39_len49	49	49	8	0.1633
Pepper_aptamer_gpu7_seq5_len49	49	49	7	0.1429
Pepper_aptamer_gpu7_seq6_len49	49	49	6	0.1224
Pepper_aptamer_gpu7_seq9_len49	49	49	4	0.0816
Pepper_aptamer_gpu7_seq12_len49	49	49	6	0.1224
Pepper_aptamer_gpu7_seq14_len49	49	49	9	0.1837
Pepper_aptamer_gpu7_seq18_len49	49	49	6	0.1224
Pepper_aptamer_gpu7_seq20_len49	49	49	6	0.1224
Pepper_aptamer_gpu7_seq21_len49	49	49	5	0.1020
Pepper_aptamer_gpu7_seq27_len49	49	49	9	0.1837
Pepper_aptamer_gpu7_seq28_len49	49	49	5	0.1020
Pepper_aptamer_gpu7_seq29_len49	49	49	3	0.0612
Pepper_aptamer_gpu7_seq37_len49	49	49	7	0.1429
